FlightDate,DepDelay,ArrDelay,Cancelled
2017-08-20,35,33,0
2017-08-21,38,40,1
2017-08-22,37,37,1
2017-08-23,32,33,0
2017-08-24,34,35,0
2017-08-25,31,32,0
2017-08-26,24,23,4
2017-08-27,28,28,7
2017-08-28,29,30,6
2017-08-29,25,27,6
2017-08-30,25,25,6
2017-08-31,33,35,5
2017-09-01,35,35,5
2017-09-02,23,20,3
2017-09-03,18,15,2
2017-09-04,25,26,2
2017-09-05,34,36,3
2017-09-06,33,33,1
2017-09-07,34,36,1
2017-09-08,37,37,3
2017-09-09,19,16,11
2017-09-10,18,16,13
2017-09-11,20,21,19
2017-09-12,20,19,9
2017-09-13,29,30,4
2017-09-14,34,36,2
2017-09-15,28,27,1
2017-09-16,21,19,1
2017-09-17,31,31,0
2017-09-18,33,34,0
2017-09-19,27,31,1
2017-09-20,27,29,1
2017-09-21,30,31,1
2017-09-22,30,30,1
2017-09-23,19,19,1
2017-09-24,29,28,1
2017-09-25,25,26,0
2017-09-26,19,19,0
2017-09-27,20,21,0
2017-09-28,26,26,0
2017-09-29,27,29,0
2017-09-30,21,20,0
2017-10-01,25,25,0
2017-10-02,25,27,0
2017-10-03,24,26,0
2017-10-04,25,25,0
2017-10-05,29,29,0
2017-10-06,35,36,0
2017-10-07,24,22,0
2017-10-08,33,33,0
2017-10-09,42,43,1
2017-10-10,29,30,0
2017-10-11,29,31,1
2017-10-12,34,34,0
2017-10-13,32,32,0
2017-10-14,34,33,1
2017-10-15,34,31,0
2017-10-16,29,28,0
2017-10-17,25,24,0
2017-10-18,25,23,0
2017-10-19,31,29,0
2017-10-20,33,32,0
2017-10-21,21,21,0
2017-10-22,34,35,0
2017-10-23,38,40,0
2017-10-24,34,38,2
2017-10-25,27,28,0
2017-10-26,33,33,0
2017-10-27,32,33,0
2017-10-28,24,26,0
2017-10-29,34,34,2
2017-10-30,31,31,0
2017-10-31,17,19,0
2017-11-01,26,28,0
2017-11-02,24,25,0
2017-11-03,32,34,0
2017-11-04,24,27,0
2017-11-05,39,40,1
2017-11-06,33,30,0
2017-11-07,26,27,0
2017-11-08,28,27,0
2017-11-09,34,30,0
2017-11-10,33,30,0
2017-11-11,20,15,0
2017-11-12,26,21,0
2017-11-13,31,28,0
2017-11-14,21,18,0
2017-11-15,24,21,0
2017-11-16,35,33,0
2017-11-17,33,33,0
2017-11-18,33,30,0
2017-11-19,30,26,0
2017-11-20,28,22,0
2017-11-21,28,25,0
2017-11-22,25,24,0
2017-11-23,17,14,0
2017-11-24,14,10,0
2017-11-25,20,17,0
2017-11-26,31,30,0
2017-11-27,28,24,0
2017-11-28,23,16,0
2017-11-29,18,15,0
2017-11-30,19,15,0
