Date,Airline,TotalCancelled
2019-May,Allegiant Air,13
2019-May,Spirit Airlines,241
2019-May,SkyWest Airlines,1163
2019-May,PSA Airlines,523
2019-May,Hawaiian Airlines,2
2019-May,Southwest Airlines,4140
2019-May,Mesa Airlines,976
2019-May,Endeavor Air,214
2019-May,Delta Air Lines,0
2019-May,American Airlines,2772
2019-May,Express Jet Airlines,551
2019-May,Envoy Air,1034
2019-May,Frontier Airlines,129
2019-Jun,Frontier Airlines,310
2019-Jun,SkyWest Airlines,970
2019-Jun,Southwest Airlines,2334
2019-Jun,American Airlines,3671
2019-Jun,Envoy Air,1297
2019-Jun,PSA Airlines,502
2019-Jun,Endeavor Air,563
2019-Jun,Jetblue Airways,120
2019-Jun,Delta Air Lines,167
2019-Jun,SkyWest Airlines,338
2019-Jun,Republic Airways,681
2019-Jun,Hawaiian Airlines,25
2019-Jun,Alaska Airlines,206
2019-Jun,Spirit Airlines,321
2019-Jun,Mesa Airlines,1066
2019-Jun,Express Jet Airlines,602
2019-Jun,Allegiant Air,54
2019-Jul,Allegiant Air,41
2019-Jul,Spirit Airlines,417
2019-Jul,Alaska Airlines,139
2019-Jul,Hawaiian Airlines,5
2019-Jul,Jetblue Airways,403
2019-Jul,Republic Airways,1249
2019-Jul,SkyWest Airlines,732
2019-Jul,Delta Air Lines,355
2019-Jul,Endeavor Air,758
2019-Jul,American Airlines,2554
2019-Jul,Frontier Airlines,288
2019-Jul,Envoy Air,1298
2019-Jul,Southwest Airlines,1614
2019-Jul,SkyWest Airlines,1021
2019-Jul,PSA Airlines,846
2019-Jul,Mesa Airlines,639
2019-Jul,Express Jet Airlines,569
2019-Aug,Delta Air Lines,216
2019-Aug,Mesa Airlines,730
2019-Aug,Allegiant Air,24
2019-Aug,Republic Airways,927
