Dest,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
BMI,5.6370,1.1696,1.6870,0.0096,4.8531,1416,222,1171,3,1271
DVL,7.1740,0.8486,0.9692,0.0128,4.9374,178,21,220,1,300
CEC,5.5789,0.0053,0.5895,0.0000,6.8947,17,1,10,0,22
CWA,3.8010,1.7778,2.0778,0.0072,3.9338,703,176,884,3,702
OTH,6.6565,0.2460,2.3315,0.0036,13.1149,190,13,235,1,378
RST,5.3385,1.2926,2.0719,0.0028,5.1176,1196,261,1334,1,1309
ITO,1.2887,0.0898,0.1226,0.0046,1.1310,2032,195,225,7,1447
DIK,2.0281,0.3848,2.1804,0.0000,1.5541,49,7,67,0,45
HYS,6.6429,0.8182,1.6807,0.0095,5.3804,267,45,388,2,418
SMX,3.6043,0.2985,1.1264,0.1131,6.1319,99,10,127,1,226
CNY,4.9688,1.1457,1.3211,0.0000,3.6685,86,24,96,0,102
APN,4.8628,1.7447,1.1607,0.0054,5.6435,149,40,161,1,266
BJI,4.2467,1.4438,1.1459,0.0000,2.4362,143,33,183,0,161
BTM,1.7645,3.1972,0.6383,0.0000,0.5717,93,37,106,0,75
CDC,2.4462,0.5127,2.3640,0.0061,1.0573,155,21,384,1,100
COD,2.8863,0.9245,1.3917,0.0000,2.1437,155,43,206,0,180
GUM,4.7679,0.1145,1.3998,0.0000,3.3333,257,8,241,0,185
LRD,4.5567,0.5959,1.8101,0.0106,3.5838,905,123,1049,7,920
COU,5.4320,1.5880,2.4898,0.0047,6.2966,706,200,833,2,838
LAW,5.7589,0.6291,1.3387,0.0008,4.4851,589,67,504,1,562
SJT,3.4733,0.7555,1.4894,0.0122,3.2186,538,136,602,5,567
GRK,4.8566,0.5901,1.7007,0.0109,3.4672,1376,192,1269,9,1172
BPT,4.6689,1.1509,2.3262,0.0441,4.2778,380,78,454,4,324
CLL,4.7634,0.7729,1.4283,0.0145,3.3005,741,134,720,4,720
LCH,3.4032,1.4393,1.8246,0.0077,3.0915,625,145,726,3,601
SPS,4.2333,0.6883,1.0163,0.0300,3.5122,387,75,339,7,375
GGG,3.4067,0.8328,1.2653,0.0240,3.5263,232,47,217,3,213
AEX,4.3694,0.7924,1.6478,0.0145,3.5993,1361,197,1305,7,1205
SCE,5.6236,1.4009,2.1310,0.0071,4.9936,588,110,622,1,674
ELM,5.6081,0.1946,1.3968,0.0091,3.6086,516,22,395,1,403
MEI,9.2164,0.3760,2.6126,0.0024,7.8147,547,27,654,4,663
PIB,7.9328,0.2137,1.2540,0.0000,12.5817,225,12,360,0,670
HOB,3.7257,0.4484,2.0774,0.0000,2.9211,236,28,290,0,198
MGM,6.2123,1.1113,1.4495,0.0110,4.7668,1680,271,1438,6,1570
GTR,5.0029,0.7395,1.2800,0.0000,4.6125,487,57,381,0,507
FSM,5.6325,0.5520,1.2796,0.0000,5.3757,946,120,684,0,902
DHN,5.2089,0.7500,1.4166,0.0535,5.0035,680,50,560,2,744
PHF,5.1169,0.9153,1.2394,0.0084,4.2096,1012,118,631,4,786
BQK,5.4641,0.7709,1.1273,0.0000,4.1138,454,45,334,0,401
VLD,5.1117,0.6003,1.2599,0.0000,3.1638,432,40,339,0,362
CSG,5.2518,0.5902,1.2594,0.0000,4.1850,630,33,484,0,521
OAJ,5.8980,0.9014,1.3668,0.0322,4.5659,1197,155,881,9,915
ABY,6.1415,1.8355,1.4263,0.0030,3.9308,483,67,369,1,443
EWN,4.4682,0.9609,1.5736,0.0063,5.3158,745,120,692,2,703
TTN,4.1377,0.2417,3.8921,0.0000,10.6606,1535,78,1777,0,1962
ILG,5.9184,0.0000,7.8878,0.0000,10.1020,17,0,24,0,20
UST,4.9209,0.1884,5.8488,0.0000,7.4186,49,3,69,0,50
TOL,3.4417,1.2494,1.7784,0.0000,5.1669,447,160,529,0,569
DBQ,2.2515,1.4224,2.8809,0.0000,4.6014,246,119,427,0,334
CMI,2.9729,1.6412,2.6272,0.0051,5.2194,651,325,959,1,849
PPG,11.9064,4.2676,0.0017,0.4281,0.0435,101,2,1,5,2
ROW,4.7929,0.7088,1.1269,0.0269,3.3189,332,64,319,7,340
ACT,4.5728,0.4887,1.2603,0.0107,4.0993,663,91,631,3,669
SUX,2.3223,1.4341,2.9938,0.0000,5.0679,296,120,466,0,394
ABI,2.5568,1.4136,1.6424,0.0233,3.9530,619,240,736,8,680
GRI,5.0865,0.8991,1.3498,0.0135,3.6904,301,54,263,1,286
JLN,5.2125,0.6951,1.7090,0.0232,5.2258,325,72,368,3,397
ALO,3.3376,1.2916,2.8514,0.0000,5.4568,202,96,334,0,313
MQT,4.3850,5.2663,2.1243,0.0047,5.9722,328,152,461,1,442
GCK,3.7904,1.2969,1.1845,0.0315,2.8555,218,65,210,3,191
TXK,3.4376,0.6343,1.3462,0.0052,4.0535,377,79,387,2,362
ITH,4.8395,2.0559,1.2931,0.0085,4.2255,269,59,247,1,288
BGM,5.0838,2.2489,1.9577,0.0203,3.8308,285,68,267,1,323
BGR,5.1260,0.5054,2.3999,0.0043,5.9252,974,81,992,4,1096
ACK,5.5129,2.7417,2.0628,0.0247,5.4992,524,104,391,2,365
MVY,4.2767,0.3848,1.8085,0.0377,4.2727,226,15,138,2,155
WYS,1.6804,0.1808,1.1371,0.0386,0.4165,57,9,90,1,27
GST,2.4039,0.1217,1.0998,0.0000,2.9854,17,2,29,0,30
DLG,2.4428,0.0876,0.4282,0.0000,0.9221,19,1,21,0,12
AKN,1.4601,0.0000,0.6198,0.0000,0.8083,14,0,22,0,12
HYA,5.6106,1.1617,1.3085,0.0638,3.7489,64,3,40,1,47
SPN,2.8892,0.9850,0.6580,0.0000,1.1737,70,8,48,0,15
