Tail_Number,AVG(TaxiIn)
N370NW,7.1159
N921AT,6.9005
N896AT,7.1825
N669DN,7.3984
N308DE,6.7126
N335NW,7.0288
N671DN,7.6165
N910DN,6.4581
N926DL,6.8892
N696DL,7.5291
N928DL,6.8275
N815DN,7.3999
N940DL,6.7535
N939DL,6.7174
N942DN,6.3331
N928DN,6.4207
N956AT,7.0411
N327NW,6.9169
N383DN,7.5558
N988DL,6.6221
N693DL,7.7475
N994DL,6.7158
N371DA,7.6579
N352NW,7.2982
N924DL,6.6619
N371NW,7.0644
N6714Q,9.3718
N321US,7.1492
N344NB,7.7213
N332NB,7.1323
N378DA,7.4249
N315NB,7.0237
N990AT,7.2429
N804DN,7.2863
N534US,7.9623
N892AT,7.0145
N927DA,6.7908
N594NW,8.0829
N922DX,6.5019
N937DL,6.7519
N595NW,8.1511
N379DA,7.8319
N901DE,6.6411
N963DN,6.4041
N934AT,7.1509
N322NB,7.0846
N829DN,7.1444
N981DL,6.6984
N908DA,6.4583
N932DN,6.3129
N915DN,6.3744
N697DL,7.4049
N977AT,6.9455
N372DA,7.7231
N904DE,6.6655
N993DL,6.7115
N370NB,7.1147
N542US,7.8348
N980DL,6.7188
N970AT,7.2555
N994AT,7.0952
N936DL,6.6912
N682DA,7.4244
N939DN,6.3907
N911DL,6.6079
N588NW,8.0169
N920AT,7.1508
N317US,7.2179
N966AT,7.2044
N140LL,7.2364
N6711M,7.6926
N827DN,7.2226
N349NW,7.2017
N936DN,6.3821
N662DN,7.2784
N372NW,7.1960
N530US,7.6366
N987AT,6.9074
N916DN,6.4234
N813DN,7.2438
N975AT,7.0252
N3767,7.6494
N949DL,6.6769
N926AT,7.0935
N973DL,6.6939
N309DE,6.6401
N830DN,7.3222
N912DL,6.6902
N999DN,6.8053
N919AT,7.0700
N320US,7.2072
N989DL,6.7964
N812DN,7.1898
N951DN,6.3318
N582NW,8.1238
N591NW,7.8704
N808DN,7.2330
N947DN,6.2194
N958DL,6.7081
N389DA,7.7814
N722TW,10.0997
N665DN,7.8355
N3741S,7.5936
N398DA,7.7809
N688DL,7.8165
N826DN,7.2903
N917DL,6.7298
N945DL,6.7286
N910DL,6.5238
N911DA,6.4704
N655DL,7.3430
N899AT,7.2146
N961DL,6.7089
N987DL,6.6255
N541US,7.6682
N941DN,6.4046
N668DN,7.5778
N348NW,7.1806
N917DE,6.8084
N750AT,7.7120
N953AT,7.0601
N658DL,7.6441
N913DL,6.7028
N828DN,7.3205
N968AT,7.0670
N986DL,6.7651
N757AT,8.0878
N360NW,7.0907
N666DN,7.3889
N37700,7.5995
N912DE,6.7229
N953DL,6.7906
N981AT,7.1356
N337NW,7.0159
N125DL,8.9275
N6703D,7.5778
N358NW,7.2010
N997DL,6.6882
N946DN,6.3537
