Tail_Number,AVG(TaxiOut)
N140LL,19.2235
N6711M,17.6519
N827DN,17.2756
N349NW,17.4951
N936DN,16.8767
N662DN,17.1849
N372NW,17.4405
N530US,17.2872
N987AT,16.9135
N916DN,16.8605
N813DN,17.3540
N975AT,16.9618
N3767,17.6339
N949DL,16.5671
N926AT,17.2010
N973DL,16.4820
N309DE,15.5755
N830DN,17.3255
N912DL,16.6429
N999DN,16.3900
N919AT,16.9829
N320US,18.2807
N989DL,16.5107
N812DN,17.1535
N951DN,17.1497
N582NW,18.6074
N591NW,18.5917
N808DN,17.2376
N947DN,16.6868
N958DL,16.6957
N389DA,17.5960
N722TW,23.5132
N665DN,17.7186
N3741S,17.6549
N398DA,17.5414
N688DL,17.8699
N826DN,17.3062
N917DL,16.5739
N945DL,16.5523
N910DL,16.4548
N911DA,17.1683
N655DL,17.8754
N899AT,16.8147
N961DL,16.5274
N987DL,16.3861
N541US,17.5736
N941DN,17.0648
N668DN,17.3178
N348NW,17.6545
N917DE,17.3018
N750AT,17.9398
N953AT,16.9840
N658DL,17.1141
N913DL,16.3784
N828DN,17.4841
N968AT,16.4884
N986DL,16.4116
N757AT,17.2300
N360NW,17.5460
N666DN,17.2864
N37700,17.5870
N912DE,16.6705
N953DL,16.5205
N981AT,16.9909
N337NW,17.6429
N125DL,19.4618
N6703D,17.8913
N358NW,18.0005
N997DL,16.2982
N946DN,16.7385
N913DE,16.5490
N361NW,17.4497
N317NB,17.2752
N992DL,16.6169
N355NW,17.7520
N985DL,16.5539
N935DL,16.5494
N916DE,16.5713
N982DL,16.6276
N586NW,18.8060
N906DE,16.4926
N351NW,17.4015
N961DN,17.2265
N555NW,17.6375
N901DA,17.2834
N363NW,17.2788
N318US,16.8173
N680DA,17.7776
N962DL,16.5941
N603AT,17.2361
N998DL,16.3788
N752AT,17.4247
N893AT,17.2408
N357NW,17.4579
N905DL,16.5362
N6705Y,17.5789
N683DA,18.2137
N908DE,16.4821
N905DA,16.9286
N353NB,17.4585
N540US,17.4956
N972DL,16.5876
N991DL,16.5495
N991AT,16.9930
N684DA,17.7276
N909DA,16.9726
N909DL,20.3275
N1613B,19.6122
N805DN,17.1347
N944DN,16.9236
N550NW,17.6534
